name,type,area1,area2,location
"5G先锋体验区-智慧生活馆","passage","5G先锋体验区","智慧生活馆",""
"5G先锋体验区-未来科技赋能中心","passage","5G先锋体验区","未来科技赋能中心",""
"智慧生活馆-数字服务互动站","passage","智慧生活馆","数字服务互动站",""
"智慧生活馆-未来科技赋能中心","passage","智慧生活馆","未来科技赋能中心",""
"5G先锋体验区主入口","standalone","","","5G先锋体验区"
"云游戏区安全门","standalone","","","5G先锋体验区"
"VR体验室门","standalone","","","5G先锋体验区"
"智慧生活馆主入口","standalone","","","智慧生活馆"
"智能家居展厅门","standalone","","","智慧生活馆"
"未来科技赋能中心主入口","standalone","","","未来科技赋能中心"
"行业应用展区门","standalone","","","未来科技赋能中心"
