name,aliases,description,filename
"""5G技术总览"",""5G的视频,5G技术介绍"",""全面介绍中国移动5G技术的演进之路、核心优势、广泛的网络覆盖以及面向未来的6G技术发展愿景。"",5G_Overview_Intro.mp4"
"""智慧家庭解决方案"",""智慧家庭的视频,智能家居"",""展示我们的全屋智能解决方案，通过一个APP实现安防、照明、家电的全场景智能联动与便捷控制。"",Smart_Home_Solutions.mp4"
"""物联网应用案例"",""物联网的视频,IoT"",""精选智慧城市、工业互联网、智慧农业等领域的物联网应用案例，见证万物互联带来的深刻变革。"",IoT_Application_Cases.mp4"
"""企业文化宣传片"",""移动企业文化,公司文化"",""深入了解中国移动“正德厚生，臻于至善”的核心价值观、社会责任担当以及我们员工的卓越风采。"",CMCC_Corporate_Culture.mp4"
"""数字乡村振兴实践"",""乡村振兴,数字普惠"",""介绍我们如何利用先进的通信技术和数字化平台，打通信息壁垒，全面助力中国乡村的现代化振兴。"",Digital_Rural_Revitalization.mp4"
"""云计算与大数据能力"",""云计算的视频,大数据技术"",""深度解析移动云的技术架构与超大规模数据处理能力，以及如何为千行百业提供安全的云服务产品。"",Cloud_BigData_Capabilities.mp4"
"""人工智能应用前沿"",""AI如何改变生活,AI助手"",""展示人工智能在智能客服、网络优化、精准营销等场景的应用，体验AI为生活与工作带来的效率提升。"",AI_Applications_Frontier.mp4"
"""移动支付与数字人民币"",""手机支付,移动支付技术"",""介绍便捷安全的移动支付技术，以及我们如何积极参与数字人民币的试点与推广，构建数字金融新生态。"",Mobile_Payment_eCNY.mp4"
"""智慧城市未来愿景"",""智慧城市的视频,未来城市"",""展望以5G和物联网为基础的智慧城市蓝图，展示在智慧交通、智能安防、环境监测等领域的贡献。"",Smart_City_Future_Vision.mp4"
"""绿色通信与可持续发展"",""绿色节能,可持续发展"",""介绍我们在5G基站节能、绿色数据中心建设、循环经济等方面所做的努力，推动通信行业可持续发展。"",Green_Communications_Sustainability.mp4"
"""5G-Advanced技术解析"",""5G-A是什么,5.5G网络"",""详细解读5G-A（5.5G）在速率、时延、连接数方面的技术突破，及其在工业、车联领域的应用前景。"",5G_Advanced_Tech_Analysis.mp4"
"""5G网络切片技术"",""网络切片,5G专用网络"",""揭示5G网络切片技术如何为特定业务（如电网、医疗）提供隔离的、可定制的专用网络通道。"",5G_Network_Slicing.mp4"
"""5G毫米波技术探秘"",""毫米波是什么,超高速5G"",""探索5G毫米波技术的独特优势，它如何支撑起体育场馆、交通枢纽等场景下的超密集用户连接。"",5G_mmWave_Exploration.mp4"
"""算力网络（CFN）"",""算力网络介绍,东数西算"",""介绍我们构建的“连接+算力+能力”新型信息服务体系，实现算力像水电一样“一点接入、即取即用”。"",Computing_First_Network.mp4"
"""数据中心基础设施"",""我们的数据中心,IDC机房"",""参观我们符合国际高等级标准的数据中心，了解其在安全、供电、制冷方面的领先设计与可靠保障。"",Data_Center_Infrastructure.mp4"
"""家庭安防解决方案"",""家庭摄像头,智能门锁"",""介绍由智能门锁、高清摄像头、红外传感器组成的家庭安防系统，让您随时随地守护家的安全。"",Home_Security_Solution.mp4"
"""全屋Wi-Fi覆盖"",""家庭网络,Wi-Fi信号不好怎么办"",""展示我们的全屋智能组网服务，通过专业设备和方案设计，解决大户型Wi-Fi信号覆盖不佳的难题。"",Whole_Home_WiFi.mp4"
"""智慧社区管理平台"",""智慧小区,小区智能化"",""展示我们为社区物业打造的智慧管理平台，集成门禁、停车、监控、报修等功能，提升管理效率。"",Smart_Community_Platform.mp4"
"""工业互联网平台"",""工业物联网,智能制造"",""介绍我们的OnePower工业互联网平台，如何帮助制造企业实现设备上云、生产优化和数字化转型。"",Industrial_Internet_Platform.mp4"
"""车联网（V2X）技术"",""智能网联汽车,自动驾驶"",""展示5G-V2X技术如何实现车与车、车与路、车与人的实时通信，为自动驾驶和交通安全铺平道路。"",Vehicle_to_Everything_V2X.mp4"
"""智慧农业解决方案"",""智慧大棚,农业物联网"",""观看无人机、传感器和大数据平台如何在现代农业中协同工作，实现农作物的精准灌溉与科学种植。"",Smart_Agriculture_Solution.mp4"
"""智慧医疗影像云"",""远程医疗,云上看片"",""介绍我们为医院打造的医疗影像云平台，让专家可以随时随地调阅影像，支持远程会诊和分级诊疗。"",Smart_Healthcare_Imaging_Cloud.mp4"
"""智慧教育互动课堂"",""未来教室,远程上课"",""展示5G+XR技术如何打造沉浸式互动课堂，让偏远地区的学生也能共享优质的教育教学资源。"",Smart_Education_Classroom.mp4"
"""金融行业数字化方案"",""智慧银行,数字金融"",""介绍我们如何为金融机构提供高可靠的网络、安全的云服务和大数据风控能力，助力其数字化转型。"",Digital_Finance_Solutions.mp4"
"""智慧文旅沉浸式体验"",""智慧景区,VR旅游"",""展示AR导航、VR虚拟导览等技术如何应用于旅游景区，为游客创造前所未有的沉浸式互动体验。"",Smart_Tourism_Experience.mp4"
"""网络安全防护体系"",""网络安全,反电信诈骗"",""揭秘我们为保护用户远离网络风险所构建的多层次安全防护体系，以及在反电信诈骗方面的技术手段。"",Cyber_Security_Defense_System.mp4"
"""数据隐私保护承诺"",""个人信息保护,数据安全"",""阐述我们在数据安全与个人信息保护方面的严格政策与技术措施，承诺 safeguarding 用户的每一份信任。"",Data_Privacy_Protection.mp4"
"""云原生安全解决方案"",""云安全,容器安全"",""介绍面向云原生环境的整体安全解决方案，如何通过创新的技术保护企业在云上的应用和数据安全。"",Cloud_Native_Security.mp4"
"""量子通信加密技术"",""量子保密,最安全的通信"",""初探量子通信的基本原理，以及我们如何利用其“一次一密、绝对安全”的特性来保护国家机密通信。"",Quantum_Communication_Encryption.mp4"
"""超级SIM卡功能"",""超级SIM卡是什么,一卡多用"",""介绍集成交通卡、门禁卡、数字身份等多种功能的超级SIM卡，如何为用户的数字生活带来更多便利。"",Super_SIM_Functionality.mp4"
"""和彩云网盘"",""移动的云盘,和彩云"",""介绍个人与家庭数据备份与共享的一站式云存储服务“和彩云”，及其在5G时代的安全极速传输体验。"",HeCaiYun_Cloud_Drive.mp4"
"""移动高清视频彩铃"",""看得见的彩铃,视频彩铃"",""体验个性化的视频彩铃业务，让用户在拨打电话的等待时间里，欣赏一段你精心设置的短视频内容。"",Video_Color_Ring_Tone.mp4"
"""云游戏平台"",""在手机上玩电脑游戏,云游戏"",""展示我们的高清云游戏平台，手机、电视等普通设备无需下载，即可畅玩各类3A级主机游戏大作。"",Cloud_Gaming_Platform.php"
"""超高清视频技术"",""4K/8K视频,极致画质"",""介绍我们在超高清视频内容传输与播放方面的技术积累，为用户带来身临其境般的极致视觉盛宴。"",Ultra_HD_Video_Technology.mp4"
"""AR增强现实应用"",""AR特效,现实与虚拟"",""探索AR技术在娱乐、社交、营销、工业维修等领域的趣味应用，体验虚拟信息与现实世界的完美融合。"",Augmented_Reality_Applications.mp4"
"""VR虚拟现实体验"",""VR世界,虚拟空间"",""戴上VR设备，进入我们打造的虚拟展厅或游戏世界，感受360度全景沉浸式体验带来的震撼。"",Virtual_Reality_Experience.mp4"
"""数字人与智能客服"",""虚拟人,AI客服"",""认识我们的AI数字人，了解其如何作为智能客服或虚拟主播，7x24小时提供拟人化的交互服务。"",Digital_Human_Avatar.mp4"
"""全球发展与一带一路"",""出海业务,全球化战略"",""介绍我们在全球的业务布局，以及如何积极响应“一带一路”倡议，为沿线国家提供高质量的通信服务。"",Global_Strategy_BRI.mp4"
"""社会公益与慈善"",""移动公益,企业责任"",""回顾我们在教育、扶贫、环保等领域的公益项目，展现作为企业公民的责任与担当，传递社会正能量。"",Social_Welfare_Charity.mp4"
"""应急通信保障"",""地震救援通信,应急响应"",""展示我们的应急通信保障队伍如何在地震、洪水等自然灾害发生后，第一时间奔赴现场，快速恢复通信。"",Emergency_Communication_Support.mp4p"
"""全民数字素养提升"",""老年人上网,信息无障碍"",""介绍我们为帮助老年人、残障人士等群体跨越数字鸿沟所做的努力，如举办手机课堂、优化APP等。"",Digital_Literacy_Inclusion.mp4"
